timestamp_utc,city,temperature_c,apparent_temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm,weather_code,weather_description
2026-08-11 08:03:24,Edinburgh,14.2,13.0,72,6.5,0.0,1,Mainly clear
2026-08-11 08:03:24,Leeds,16.9,15.1,64,12.6,0.0,3,Overcast
2026-08-11 19:54:50,London,21.2,19.5,56,16.6,0.0,0,Clear sky
2026-08-11 19:54:50,Birmingham,25.3,22.3,33,16.9,0.0,0,Clear sky
2026-08-11 19:54:51,Manchester,26.0,23.9,35,13.0,0.0,3,Overcast
2026-08-11 19:54:52,Glasgow,21.5,21.0,55,7.9,0.0,2,Partly cloudy
2026-08-11 19:54:52,Cardiff,24.8,23.8,44,10.8,0.0,0,Clear sky
2026-08-11 19:54:53,Belfast,20.3,20.5,63,5.4,0.0,3,Overcast
2026-08-11 19:54:53,Edinburgh,18.2,18.8,76,4.7,0.0,3,Overcast
2026-08-11 19:54:54,Leeds,23.6,21.6,45,15.8,0.0,3,Overcast
2026-08-12 08:09:02,London,20.7,20.1,58,9.0,0.0,0,Clear sky
2026-08-12 08:09:03,Birmingham,18.7,18.5,68,6.8,0.0,0,Clear sky
2026-08-12 08:09:03,Manchester,19.5,19.3,59,4.3,0.0,0,Clear sky
2026-08-12 08:09:03,Glasgow,19.2,19.9,67,2.2,0.0,3,Overcast
2026-08-12 08:09:04,Cardiff,20.5,19.6,59,10.8,0.0,0,Clear sky
2026-08-12 08:09:04,Belfast,18.9,20.0,77,3.2,0.0,3,Overcast
2026-08-12 08:09:05,Edinburgh,18.5,18.8,68,3.6,0.0,3,Overcast
2026-08-12 08:09:05,Leeds,18.4,17.7,67,9.4,0.0,0,Clear sky
2026-08-12 19:56:14,London,27.8,26.0,34,13.3,0.0,0,Clear sky
2026-08-12 19:56:15,Birmingham,31.6,29.7,28,15.1,0.0,0,Clear sky
2026-08-12 19:56:15,Manchester,30.5,29.7,34,11.5,0.0,0,Clear sky
2026-08-12 19:56:16,Glasgow,21.4,22.9,72,4.0,0.0,3,Overcast
2026-08-12 19:56:16,Cardiff,28.5,29.4,44,5.8,0.0,0,Clear sky
2026-08-12 19:56:17,Belfast,22.2,22.4,53,2.5,0.0,2,Partly cloudy
2026-08-12 19:56:18,Edinburgh,23.7,24.1,52,4.7,0.0,3,Overcast
2026-08-12 19:56:18,Leeds,27.9,26.8,40,14.0,0.0,0,Clear sky
2026-08-13 08:11:25,London,22.6,22.9,58,6.8,0.0,0,Clear sky
2026-08-13 08:11:26,Birmingham,23.6,22.6,39,5.4,0.0,0,Clear sky
2026-08-13 08:11:27,Manchester,25.9,25.4,38,4.0,0.0,0,Clear sky
2026-08-13 08:11:27,Glasgow,19.4,20.5,73,2.2,0.0,0,Clear sky
2026-08-13 08:11:28,Cardiff,24.1,23.0,41,7.9,0.0,0,Clear sky
2026-08-13 08:11:29,Belfast,21.3,23.0,74,4.0,0.0,3,Overcast
2026-08-13 08:11:29,Edinburgh,19.4,20.4,72,3.2,0.0,3,Overcast
2026-08-13 08:11:30,Leeds,22.6,22.5,50,3.6,0.0,0,Clear sky
2026-08-13 19:51:40,London,32.0,30.6,26,10.1,0.0,0,Clear sky
2026-08-13 19:51:40,Birmingham,28.0,26.5,40,17.3,0.0,0,Clear sky
2026-08-13 19:51:41,Manchester,26.3,26.3,47,9.0,0.0,3,Overcast
2026-08-13 19:51:41,Glasgow,22.9,23.9,67,8.6,0.0,1,Mainly clear
2026-08-13 19:51:42,Cardiff,21.9,22.2,82,20.2,0.0,1,Mainly clear
2026-08-13 19:51:43,Belfast,23.7,25.2,65,5.8,0.0,3,Overcast
2026-08-13 19:51:43,Edinburgh,23.7,24.0,61,11.2,0.0,0,Clear sky
2026-08-13 19:51:44,Leeds,27.9,26.6,41,15.8,0.0,3,Overcast
2026-08-14 08:07:01,London,24.4,24.8,53,6.8,0.0,0,Clear sky
2026-08-14 08:07:02,Birmingham,21.7,22.7,72,8.3,0.0,0,Clear sky
2026-08-14 08:07:02,Manchester,20.8,22.5,78,5.0,0.0,1,Mainly clear
2026-08-14 08:07:03,Glasgow,17.8,17.4,83,14.0,0.0,3,Overcast
2026-08-14 08:07:03,Cardiff,21.5,22.2,76,12.6,0.0,3,Overcast
2026-08-14 08:07:03,Belfast,17.3,16.7,72,9.0,0.0,2,Partly cloudy
2026-08-14 08:07:04,Edinburgh,19.6,20.4,90,14.8,0.0,3,Overcast
2026-08-14 08:07:04,Leeds,22.5,22.5,69,15.5,0.0,0,Clear sky
2026-08-14 19:41:30,London,32.5,31.8,31,11.9,0.0,1,Mainly clear
2026-08-14 19:41:30,Birmingham,21.7,20.7,65,18.0,0.0,3,Overcast
2026-08-14 19:41:31,Manchester,20.4,19.2,57,11.5,0.0,3,Overcast
2026-08-14 19:41:31,Glasgow,17.3,16.0,74,14.4,0.0,3,Overcast
2026-08-14 19:41:32,Cardiff,23.0,24.0,76,14.4,0.0,2,Partly cloudy
2026-08-14 19:41:33,Belfast,18.2,17.2,71,13.0,0.0,3,Overcast
2026-08-14 19:41:33,Edinburgh,17.9,16.1,67,15.8,0.0,2,Partly cloudy
2026-08-14 19:41:34,Leeds,22.1,20.9,56,14.4,0.0,3,Overcast
2026-08-15 07:21:33,London,21.1,20.5,64,13.3,0.0,3,Overcast
2026-08-15 07:21:33,Birmingham,16.8,15.2,72,15.1,0.0,0,Clear sky
2026-08-15 07:21:34,Manchester,16.9,16.3,72,7.6,0.0,2,Partly cloudy
2026-08-15 07:21:34,Glasgow,14.3,13.0,76,9.4,0.0,3,Overcast
2026-08-15 07:21:34,Cardiff,18.6,17.3,62,11.5,0.0,3,Overcast
2026-08-15 07:21:35,Belfast,15.2,14.0,73,9.0,0.0,2,Partly cloudy
2026-08-15 07:21:35,Edinburgh,14.6,12.5,71,14.0,0.0,0,Clear sky
2026-08-15 07:21:36,Leeds,16.8,15.5,69,10.8,0.0,0,Clear sky
2026-08-15 19:14:30,London,24.3,25.0,63,11.9,0.0,2,Partly cloudy
2026-08-15 19:14:31,Birmingham,19.7,16.8,45,15.5,0.0,0,Clear sky
2026-08-15 19:14:32,Manchester,17.9,15.9,54,10.8,0.0,1,Mainly clear
2026-08-15 19:14:33,Glasgow,16.2,14.0,64,13.7,0.0,2,Partly cloudy
2026-08-15 19:14:34,Cardiff,23.1,22.3,50,10.1,0.0,2,Partly cloudy
2026-08-15 19:14:34,Belfast,16.6,15.9,67,5.4,0.0,3,Overcast
2026-08-15 19:14:35,Edinburgh,16.8,14.5,63,15.8,0.0,2,Partly cloudy
2026-08-15 19:14:35,Leeds,19.5,17.5,49,10.4,0.0,0,Clear sky
2026-08-16 07:22:56,London,19.4,20.5,75,3.6,0.0,3,Overcast
2026-08-16 07:22:56,Birmingham,13.4,11.8,70,7.2,0.0,3,Overcast
2026-08-16 07:22:57,Manchester,13.1,12.4,80,4.7,0.1,51,Light drizzle
2026-08-16 07:22:57,Glasgow,12.9,12.8,92,4.7,0.0,3,Overcast
2026-08-16 07:22:57,Cardiff,16.3,14.2,56,10.1,0.0,3,Overcast
2026-08-16 07:22:58,Belfast,13.9,13.0,87,10.1,0.0,3,Overcast
2026-08-16 07:22:59,Edinburgh,12.7,11.5,90,11.2,0.0,3,Overcast
2026-08-16 07:22:59,Leeds,13.6,12.4,75,6.8,0.0,3,Overcast
2026-08-16 19:13:30,London,26.3,24.7,37,12.2,0.0,3,Overcast
2026-08-16 19:13:31,Birmingham,24.1,20.7,31,16.6,0.0,3,Overcast
2026-08-16 19:13:31,Manchester,19.2,17.4,51,10.1,0.0,3,Overcast
2026-08-16 19:13:32,Glasgow,16.6,15.8,66,6.5,0.0,3,Overcast
2026-08-16 19:13:32,Cardiff,21.3,19.1,54,18.0,0.0,3,Overcast
2026-08-16 19:13:33,Belfast,16.3,16.0,87,11.5,0.0,3,Overcast
2026-08-16 19:13:34,Edinburgh,17.0,15.9,67,9.7,0.0,3,Overcast
2026-08-16 19:13:34,Leeds,19.7,17.5,48,11.9,0.0,3,Overcast
2026-08-17 07:43:09,London,19.9,19.3,60,8.3,0.0,1,Mainly clear
2026-08-17 07:43:09,Birmingham,18.0,18.5,71,2.2,0.0,2,Partly cloudy
2026-08-17 07:43:10,Manchester,16.6,16.8,75,2.9,0.0,3,Overcast
2026-08-17 07:43:10,Glasgow,13.9,13.4,84,6.1,0.0,3,Overcast
2026-08-17 07:43:11,Cardiff,19.4,20.9,86,6.5,0.0,3,Overcast
2026-08-17 07:43:11,Belfast,15.9,17.3,95,2.2,0.1,51,Light drizzle
2026-08-17 07:43:12,Edinburgh,13.5,13.7,86,1.1,0.0,3,Overcast
2026-08-17 07:43:13,Leeds,15.4,15.7,85,4.0,0.0,3,Overcast
2026-08-17 19:20:21,London,26.7,26.5,42,7.9,0.0,3,Overcast
2026-08-17 19:20:21,Birmingham,22.1,21.6,57,10.4,0.0,3,Overcast
2026-08-17 19:20:22,Manchester,18.5,18.4,72,7.9,0.0,3,Overcast
2026-08-17 19:20:22,Glasgow,16.2,16.8,96,8.6,1.0,63,Moderate rain
2026-08-17 19:20:23,Cardiff,19.7,18.4,70,18.0,0.0,0,Clear sky
2026-08-17 19:20:23,Belfast,16.7,16.8,94,12.6,0.1,51,Light drizzle
2026-08-17 19:20:23,Edinburgh,16.1,16.6,93,7.6,0.7,63,Moderate rain
2026-08-17 19:20:24,Leeds,19.0,19.6,78,6.8,0.0,3,Overcast
2026-08-18 07:29:31,London,20.1,20.2,78,14.0,0.0,3,Overcast
2026-08-18 07:29:32,Birmingham,19.2,18.3,77,17.6,0.0,3,Overcast
2026-08-18 07:29:32,Manchester,17.7,17.3,84,14.0,0.0,3,Overcast
2026-08-18 07:29:33,Glasgow,14.7,13.2,84,15.1,0.0,3,Overcast
2026-08-18 07:29:34,Cardiff,19.3,19.4,86,16.2,0.0,3,Overcast
2026-08-18 07:29:34,Belfast,16.1,15.1,76,10.1,0.0,3,Overcast
2026-08-18 07:29:35,Edinburgh,15.2,13.2,86,20.2,0.0,2,Partly cloudy
2026-08-18 07:29:36,Leeds,18.0,17.0,83,18.0,0.0,3,Overcast
